episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,evaluation/episode_reward_max,evaluation/episode_reward_min,evaluation/episode_reward_mean,evaluation/episode_len_mean,evaluation/episodes_this_iter,perf/cpu_util_percent,perf/ram_util_percent,evaluation/hist_stats/episode_reward,evaluation/hist_stats/episode_lengths,evaluation/sampler_perf/mean_raw_obs_processing_ms,evaluation/sampler_perf/mean_inference_ms,evaluation/sampler_perf/mean_action_processing_ms,evaluation/sampler_perf/mean_env_wait_ms,evaluation/sampler_perf/mean_env_render_ms,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,2,48,48,False,0,1,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-02-02,1629100922,8.440614461898804,8.440614461898804,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,8.440614461898804,0,1,36b89_00000,[],[],29.688,1616.794,382.941,125.346,1.426,48,48,48,650.0000000000028,335.9999999999977,511.49999999999636,458.3,10,9.023076923076921,59.73846153846153,"[632.9999999999991, 491.999999999991, 335.9999999999977, 501.99999999999056, 615.000000000004, 559.9999999999965, 392.99999999999443, 505.99999999999204, 427.9999999999961, 650.0000000000028]","[472, 441, 461, 465, 448, 466, 480, 449, 452, 449]",0.1771085445377423,0.9642063427137872,0.03825551968386452,0.5521793536074707,0.0,0.0,0.5,5.0000000000000016e-05,2.800385183095932,0.0014696165919303894,2.8134582191705704,-1.7835448e-05,0.0030414873202528818,1.6063325703144073,0.010000000000000002
nan,nan,nan,nan,0,2,96,96,False,0,2,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-02-11,1629100931,8.597687244415283,17.038301706314087,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,17.038301706314087,0,2,36b89_00000,[],[],28.483,1685.209,385.472,124.523,1.326,96,96,96,652.0000000000026,305.9999999999992,514.7999999999981,464.8,10,9.308333333333335,60.5,"[648.0000000000075, 305.9999999999992, 515.9999999999895, 652.0000000000026, 353.9999999999984, 525.999999999994, 548.9999999999984, 611.9999999999968, 404.9999999999937, 580.0000000000009]","[473, 460, 454, 473, 471, 467, 493, 442, 456, 459]",0.17652961472291467,0.9693386133250165,0.03829319514269638,0.5535691769945352,0.0,0.0,0.25,5.0000000000000016e-05,1.0294123748938242,-0.0009860927859942118,1.045992025732994,-0.009955724,0.0017692194910826704,1.603586842616399,0.010000000000000002
nan,nan,nan,nan,0,2,144,144,False,0,3,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-02-19,1629100939,8.3658127784729,25.404114484786987,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,25.404114484786987,0,3,36b89_00000,[],[],26.164,1834.594,388.076,123.687,1.254,144,144,144,657.9999999999973,387.9999999999957,523.9999999999967,455.8,10,8.616666666666665,60.775,"[387.9999999999957, 657.9999999999973, 614.0000000000001, 458.9999999999961, 535.9999999999964, 520.9999999999978, 495.99999999999267, 568.9999999999995, 581.9999999999967, 416.99999999999534]","[430, 485, 484, 466, 460, 446, 454, 431, 456, 446]",0.175264886188023,0.968038007087514,0.03821230868311183,0.5527492880043212,0.0,0.0,0.125,5.0000000000000016e-05,1.2046478336056075,-0.0004791854570309321,1.2210895856221518,-0.03131606,0.0005399974146908922,1.6030070384343464,0.010000000000000002
nan,nan,nan,nan,0,2,192,192,False,0,4,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-02-28,1629100948,8.428608179092407,33.832722663879395,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,33.832722663879395,0,4,36b89_00000,[],[],26.871,1786.337,388.548,123.537,1.211,192,192,192,675.0000000000076,306.99999999999756,490.8999999999972,455.9,10,10.283333333333333,60.75833333333332,"[527.9999999999973, 441.999999999994, 417.99999999999557, 589.9999999999985, 598.9999999999969, 407.99999999999477, 306.99999999999756, 675.0000000000076, 427.99999999999505, 513.9999999999944]","[460, 458, 450, 467, 450, 472, 437, 466, 451, 448]",0.17581829823839018,0.968971137578458,0.03823298993204989,0.5528181669491047,0.0,0.0,0.0625,5.0000000000000016e-05,0.48429892311493555,-0.001062934131671985,0.5012817770242691,-0.17256957,0.0009051873295309913,1.5976501862208048,0.010000000000000002
nan,nan,nan,nan,0,2,240,240,False,0,5,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-02-36,1629100956,8.77716851234436,42.609891176223755,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,42.609891176223755,0,5,36b89_00000,[],[],25.861,1856.105,386.994,124.033,1.203,240,240,240,595.9999999999957,345.9999999999971,470.29999999999626,468.3,10,11.85,60.74999999999998,"[480.99999999999454, 419.9999999999956, 591.0000000000034, 478.9999999999951, 461.9999999999945, 464.99999999999585, 595.9999999999957, 362.9999999999974, 499.9999999999936, 345.9999999999971]","[469, 485, 447, 477, 469, 473, 450, 461, 487, 465]",0.17683718841330132,0.9739538185627106,0.038370132943166955,0.5539563245432124,0.0,0.0,0.03125,5.0000000000000016e-05,0.2324159707253178,-0.0012797315294543902,0.2495348323136568,-0.1296293,0.0009398158103568032,1.586850400765737,0.010000000000000002
nan,nan,nan,nan,0,2,288,288,False,0,6,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-02-45,1629100965,8.158383131027222,50.76827430725098,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,50.76827430725098,0,6,36b89_00000,[],[],25.346,1893.772,387.215,123.962,1.208,288,288,288,648.999999999997,256.0000000000012,532.0999999999989,434.3,10,10.5,60.74999999999999,"[292.9999999999999, 641.000000000001, 573.9999999999959, 648.999999999997, 516.9999999999931, 643.0000000000067, 256.0000000000012, 548.9999999999924, 601.000000000001, 598.0000000000006]","[436, 483, 445, 445, 465, 469, 267, 451, 427, 455]",0.17689201494330137,0.9761301502245201,0.038460570383289636,0.5554666040150542,0.0,0.0,0.015625,5.0000000000000016e-05,0.1749697654818495,0.0008142948150634766,0.1899037311474482,0.1913689,0.0010958708931866567,1.5765385011831918,0.010000000000000002
nan,nan,nan,nan,0,2,336,336,False,0,7,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-02-53,1629100973,8.528518199920654,59.29679250717163,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,59.29679250717163,0,7,36b89_00000,[],[],24.854,1931.272,389.383,123.272,1.191,336,336,336,646.9999999999942,334.99999999999835,556.9999999999997,465.0,10,10.124999999999998,60.824999999999996,"[592.0000000000042, 549.9999999999966, 592.9999999999993, 396.9999999999956, 634.0000000000022, 334.99999999999835, 590.9999999999991, 630.0000000000056, 646.9999999999942, 601.0000000000006]","[462, 470, 458, 481, 469, 460, 457, 462, 478, 453]",0.17680782344916385,0.97438792899472,0.03837799113956306,0.5544240357445889,0.0,0.0,0.0078125,5.0000000000000016e-05,0.10917688931028048,0.0004542078822851181,0.1246100947726518,0.47785774,0.0010023439870719445,1.5895244657993317,0.010000000000000002
nan,nan,nan,nan,0,2,384,384,False,0,8,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-03-02,1629100982,8.48949122428894,67.78628373146057,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,67.78628373146057,0,8,36b89_00000,[],[],24.463,1962.13,390.713,122.852,1.171,384,384,384,625.0000000000074,414.99999999999403,550.8999999999985,461.1,10,8.808333333333332,60.79999999999998,"[625.0000000000074, 544.9999999999966, 549.9999999999949, 553.0000000000016, 614.9999999999992, 559.9999999999975, 414.99999999999403, 477.99999999999363, 549.9999999999955, 618.0000000000047]","[458, 433, 471, 460, 465, 482, 467, 469, 449, 457]",0.17631094272720566,0.9741925662203457,0.03833265228554703,0.5538441661351997,0.0,0.0,0.00390625,5.0000000000000016e-05,0.1085437667866548,-0.0002030637115240097,0.12467697747051716,0.3839812,0.00044221787532781794,1.5931880931059519,0.010000000000000002
nan,nan,nan,nan,0,2,432,432,False,0,9,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-03-10,1629100990,8.733691930770874,76.51997566223145,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,76.51997566223145,0,9,36b89_00000,[],[],24.217,1982.119,390.147,123.031,1.161,432,432,432,670.0000000000026,365.99999999999824,491.3999999999986,473.5,10,10.446153846153845,60.77692307692307,"[365.99999999999824, 615.0000000000003, 573.0000000000034, 670.0000000000026, 399.9999999999955, 560.9999999999995, 384.99999999999665, 435.9999999999969, 475.99999999999596, 431.99999999999744]","[441, 450, 492, 468, 491, 471, 481, 503, 474, 464]",0.1762764773903982,0.9742727803168527,0.03834533304136701,0.5537078297079719,0.0,0.0,0.001953125,5.0000000000000016e-05,0.17371047890434663,-0.001811649091541767,0.19146510269492864,0.61090213,0.0011280179993113037,1.5945178270339966,0.010000000000000002
nan,nan,nan,nan,0,2,480,480,False,0,10,45e1e2814d1a47b2ba2f6b678ae199dc,2021-08-16_16-03-19,1629100999,8.099191427230835,84.61916708946228,2074,sjtuer-B560M-AORUS-PRO-AX,10.131.0.34,84.61916708946228,0,10,36b89_00000,[],[],23.973,2002.223,391.332,122.658,1.149,480,480,480,708.0000000000049,128.9999999999996,508.89999999999844,437.2,10,9.327272727272728,60.890909090909076,"[538.9999999999986, 501.9999999999927, 621.0000000000061, 708.0000000000049, 369.99999999999795, 566.9999999999968, 509.99999999999665, 561.9999999999945, 580.9999999999967, 128.9999999999996]","[476, 457, 466, 490, 458, 460, 459, 474, 477, 155]",0.1766688603278866,0.9738270529602383,0.038324372799622766,0.5534531768221074,0.0,0.0,0.0009765625,5.0000000000000016e-05,0.23843187087525924,-0.004501350534458955,0.2589077626665433,0.23769328,0.0016382493948791912,1.597614187002182,0.010000000000000002
